Name,Nation,PRE_Date,PRE_Championship,PRE_Pos,PRE_100mH,PRE_HJ,PRE_Shot,PRE_200m,PRE_LJ,PRE_Jav,PRE_800m,PRE_Total,POST_Date,POST_Championship,POST_Pos,POST_100mH,POST_HJ,POST_Shot,POST_200m,POST_LJ,POST_Jav,POST_800m,POST_Total,DIFF_100mH,DIFF_HJ,DIFF_Shot,DIFF_200m,DIFF_LJ,DIFF_Jav,DIFF_800m,DIFF_Total
"Ikauniece-Admidina, Laura",LAT,30/06/2012,"Europeans, Helsinki",2,1046,1016,649,946,946,808,924,6335,11/08/2013,"Worlds, Moskva",11,994,978,685,912,837,875,878,6159,-52,-38,36,-34,-109,67,-46,-176
"Klucinova, Eliska",CZE,30/06/2012,"Europeans, Helsinki",7,974,1016,808,928,877,717,831,6151,11/08/2013,"Worlds, Moskva",7,983,1054,807,895,887,778,928,6332,9,38,-1,-33,10,61,97,181
"Marcussen, Ida",NOR,30/06/2012,"Europeans, Helsinki",8,967,867,747,874,905,783,930,6073,11/08/2013,"Worlds, Moskva",18,941,867,682,833,874,846,953,5996,-26,0,-65,-41,-31,63,23,-77
"Nana Djimou, Antoinette",FRA,30/06/2012,"Europeans, Helsinki",1,1108,941,759,931,981,973,851,6544,11/08/2013,"Worlds, Moskva",8,1071,941,830,891,840,908,845,6326,-37,0,71,-40,-141,-65,-6,-218
"Salman-Rath, Claudia",GER,30/06/2012,"Europeans, Helsinki",6,1024,941,719,929,981,667,949,6210,11/08/2013,"Worlds, Moskva",4,1043,1016,719,955,1062,649,1018,6462,19,75,0,26,81,-18,69,252
"Zsivoczky-Farkas, Gyorgyi",HUN,30/06/2012,"Europeans, Helsinki",13,946,978,702,820,825,779,824,5874,11/08/2013,"Worlds, Moskva",15,966,978,736,827,899,772,889,6067,20,0,34,7,74,-7,65,193
"Broersen, Nadine",NED,04/08/2012,"Olympics, London",11,1030,1054,765,875,831,899,865,6319,11/08/2013,"Worlds, Moskva",10,863,1093,758,886,890,811,923,6224,-167,39,-7,11,59,-88,58,-95
"Day-Monroe, Sharon",USA,04/08/2012,"Olympics, London",14,1040,941,813,946,804,742,946,6232,11/08/2013,"Worlds, Moskva",6,1049,1016,817,954,786,805,980,6407,9,75,4,8,-18,63,34,175
"Ikauniece-Admidina, Laura",LAT,04/08/2012,"Olympics, London",7,1020,1016,704,965,890,885,934,6414,11/08/2013,"Worlds, Moskva",11,994,978,685,912,837,875,878,6159,-26,-38,-19,-53,-53,-10,-56,-255
"Johnson-Thompson, Katarina",GBR,04/08/2012,"Olympics, London",13,1053,1093,616,1007,908,636,954,6267,11/08/2013,"Worlds, Moskva",5,1052,1016,629,1042,1027,684,999,6449,-1,-77,13,35,119,48,45,182
"Kasyanova, Hanna",UKR,04/08/2012,"Olympics, London",8,1077,978,725,972,975,742,923,6392,11/08/2013,"Worlds, Moskva",1,1081,1054,784,993,1004,703,967,6586,4,76,59,21,29,-39,44,194
"Klucinova, Eliska",CZE,04/08/2012,"Olympics, London",16,977,978,723,887,890,776,878,6109,11/08/2013,"Worlds, Moskva",7,983,1054,807,895,887,778,928,6332,6,76,84,8,-3,2,50,223
"Maksimava, Yana",BLR,04/08/2012,"Olympics, London",15,983,1093,800,848,846,712,916,6198,11/08/2013,"Worlds, Moskva",20,963,903,812,817,780,771,936,5982,-20,-190,12,-31,-66,59,20,-216
"Marcussen, Ida",NOR,04/08/2012,"Olympics, London",26,967,830,758,873,795,711,912,5846,11/08/2013,"Worlds, Moskva",18,941,867,682,833,874,846,953,5996,-26,37,-76,-40,79,135,41,150
"Nana Djimou, Antoinette",FRA,04/08/2012,"Olympics, London",4,1130,978,811,913,890,974,880,6576,11/08/2013,"Worlds, Moskva",8,1071,941,830,891,840,908,845,6326,-59,-37,19,-22,-50,-66,-35,-250
"Schippers, Dafne",NED,04/08/2012,"Olympics, London",10,1053,978,772,1096,937,603,885,6324,11/08/2013,"Worlds, Moskva",3,1080,941,721,1095,959,696,985,6477,27,-37,-51,-1,22,93,100,153
"Sprunger, Ellen",SUI,04/08/2012,"Olympics, London",17,1072,867,702,1020,813,776,857,6107,11/08/2013,"Worlds, Moskva",13,1024,830,718,1040,899,675,895,6081,-48,-37,16,20,86,-101,38,-26
"Theisen-Eaton, Brianne",CAN,04/08/2012,"Olympics, London",9,1080,1016,720,947,853,792,975,6383,11/08/2013,"Worlds, Moskva",2,1099,1016,732,963,965,776,979,6530,19,0,12,16,112,-16,4,147
"Zsivoczky-Farkas, Gyorgyi",HUN,04/08/2012,"Olympics, London",21,932,978,764,822,871,793,853,6013,11/08/2013,"Worlds, Moskva",15,966,978,736,827,899,772,889,6067,34,0,-28,5,28,-21,36,54
"Broersen, Nadine",NED,11/08/2013,"Worlds, Moskva",10,863,1093,758,886,890,811,923,6224,15/08/2014,"Europeans, Zurich",2,1053,1158,751,879,899,902,856,6498,190,65,-7,-7,9,91,-67,274
